Nominative,Genitive,Gender,Declension,EnglishMeanings
abacus,abacī,m,II,abacus
abdōmen,abdōminis,n,III,"abdomen, belly"
aciēs,aciēī,f,V-long,battle line
actiō,actiōnis,f,III,"action, act of doing"
acus,acūs,m,IV,"needle, point"
adventus,adventūs,m,IV,arrival
aedifex,aedificis,u,III,builder
aedificium,aedificiī,n,II,building
aedīlis,aedīlis,u,III-i,commissioner of public works
aedis,aedis,f,III-i,"public building, temple"
aestās,aestātis,f,III,summer
aetās,aetātis,f,III,"age, era"
ager,agrī,m,II,"field, farmland"
agmen,agminis,n,III,"marching column, train"
agricola,agricolae,u,I,farmer
āla,ālae,f,I,wing
alauda,alaudae,u,I,lark
alcēs,alcis,u,III-i,elk
alumna,alumnae,f,I,foster daughter
alumnus,alumnī,m,II,foster son
amīca,amīcae,f,I,friend (f.)
amīcitia,amīcitiae,f,I,friendship
amīcus,amīcī,m,II,friend (m.)
amor,amōris,m,III,love
amphitheātrum,amphitheātrī,n,II,amphitheatre
anās,anātis,u,III,duck
angustia,angustiae,f,I,narrowness
angustiae,angustiārum,f,I,"difficulty, dire straits"
animal,animalis,n,III-i,animal
annus,annī,m,II,year
anser,anseris,u,III,goose
antīquitās,antīquitātis,f,III,antiquity
apertūra,apertūrae,f,I,opening
apparātus,apparātūs,m,IV,"apparatus, equipment"
appellātiō,appellātiōnis,f,III,"appellation, act of naming"
arbiter,arbitrī,u,II,"judge, mediator"
arbor,arboris,f,III,tree
arcus,arcūs,m,IV,"bow, rainbow, arch"
arēna,arēnae,f,I,"arena, sand"
ariēs,ariētis,m,III,"ram, battering ram"
ārs,artis,f,III-i,"art, skill"
artēria,artēriae,f,I,artery
asina,asinae,f,I,"ass, donkey (f.)"
asinus,asinī,m,II,"ass, donkey (m.)"
ātrium,atriī,n,II,"atrium, open-air living room"
auctiō,auctiōnis,f,III,"auction, act of increasing"
auctor,auctōris,u,III,author
auctōritās,auctōritātis,f,III,authority
audācia,audāciae,f,I,"boldness, audacity, temerity"
auditiō,auditiōnis,f,III,"audition, act of hearing"
augur,auguris,u,III,"priest, diviner, watcher of birds in flight"
aurīga,aurīgae,u,I,charioteer
auris,auris,f,III-i,ear
auspex,auspicis,u,III,"priest, examiner of birds' entrails"
Auster,Austrī,m,II,"south, south wind"
autumnus,autumnī,m,II,autumn
auxilia,auxiliōrum,n,II,reinforcements
auxilium,auxiliī,n,II,"help, aid"
avis,avis,u,III-i,bird
ballista,ballistae,f,I,"artillery, rock hurler"
barba,barbae,f,I,beard
bellum,bellī,n,II,war
beneficium,beneficiī,n,II,benefit
benīgnitās,benīgnitātis,f,III,kindness
blanditia,blanditiae,f,I,flattery
bonitās,bonitātis,f,III,goodness
Boreās,Borea,m,I,"north, north wind"
bōs,bōvis,u,III,"bovine, cattle"
bracchium,bracchiī,n,II,arm
brevitās,brevitātis,f,III,"shortness, brevity"
būbō,būbōnis,u,III,owl
caelum,caelī,n,II,"sky, heaven"
calliditās,calliditātis,f,III,"cleverness, craftiness"
calor,calōris,m,III,heat
calx,calcis,f,III,heel
camela,camelae,f,I,camel (f.)
camelus,camelī,m,II,camel (m.)
camera,camerae,f,I,"room, chamber"
campus,campī,m,II,"field, battlefield, plain"
cancer,cancrī,m,II,crab
canis,canis,u,III,dog
caper,caprī,m,II,goat (m.)
capillus,capillī,m,II,hair
capra,caprae,f,I,goat (f.)
caput,capitis,n,III,head
cariēs,cariēī,f,V-long,"decay, rot"
cāritās,cāritātis,f,III,"dearness, charity"
carmen,carminis,n,III,"song, poem"
carō,carnis,f,III,"flesh, meat"
carpus,carpī,m,II,wrist
casa,casae,f,I,"cottage, hut"
castra,castrōrum,n,II,camp
cāsus,cāsūs,m,IV,"case, instance, occasion"
catapulta,catapultae,f,I,"artillery, pike hurler"
celeritās,celeritātis,f,III,"swiftness, speed"
cēna,cēnae,f,I,"dinner, meal"
cēnsor,cēnsōris,m,III,"censor, arbiter of public morals"
cēnsus,cēnsūs,m,IV,"registry of population, count"
centuria,centuriae,f,I,century
centuriō,centuriōnis,u,III,centurion
cerebrum,cerebrī,n,II,brain
cerva,cervae,f,I,"doe, deer (f.)"
cervīx,cervīcis,f,III,neck
cervus,cervī,m,II,"buck, stag, deer (m.)"
cetus,cetī,u,II,whale
cibus,cibī,m,II,food
circus,circī,m,II,race track
cīvis,cīvis,u,III-i,citizen
clāmātiō,clāmātiōnis,f,III,act of shouting
clāmātor,clāmātōris,u,III,shouter
clārātiō,clārātiōnis,f,III,act of clarifying
clāritās,clāritātis,f,III,"clarity, clearness"
classis,classis,f,III-i,"group, rank, division, fleet"
clāvis,clāvis,f,III-i,key
clēmentia,clēmentia,f,I,mercy
cōgitātiō,cōgitātiōnis,f,III,"cogitation, act of thinking"
cōgitātor,cōgitātōris,u,III,thinker
cognitiō,cognitiōnis,f,III,"cognition, act of learning"
cohors,cohortis,f,III,"cohort, crew, regiment"
coitus,coitūs,m,IV,"going together, sexual intercourse"
collis,collis,m,III-i,hill
collum,collī,n,II,neck
color,colōris,m,III,color
columna,columnae,f,I,column
commissiō,commissiōnis,f,III,"commission, act of sending along"
commūnitās,commūnitātis,f,III,"community, commonwealth"
complūvium,complūviī,n,II,rain-diverting roof of an atrium
confectiō,confectiōnis,f,III,act of completing
coniectūra,coniectūrae,f,I,"conjecture, guesswork"
coniūnx,coniugis,u,III,spouse
cōnscientia,cōnscientiae,f,I,conscience
conscrīptiō,conscrīptiōnis,f,III,"conscription, military draft"
cōnsilium,cōnsiliī,n,II,"advice, counsel, plan"
constitūtiō,constitūtiōnis,f,III,"constitution, make-up, decision"
cōnsul,cōnsulis,u,III,"consul, chief executive"
cōnventiō,cōnventiōnis,f,III,"convention, act of coming together"
cor,cordis,n,III,heart
cornū,cornūs,n,IV,horn
corpus,corporis,n,III,body
corvus,corvī,u,II,crow
crīmen,crīminis,n,III,"crime, offense, verdict"
crūdēlitās,crūdēlitātis,f,III,cruelty
crūs,crūris,n,III,leg
crux,crucis,f,III,"cross, crossroads"
cubīculum,cubīculī,n,II,bedroom
cubitum,cubitī,n,II,elbow
culīna,culīnae,f,I,kitchen
cultūra,cultūrae,f,I,"culture, cultivation"
cūra,cūrae,f,I,"care, concern"
cūrātiō,cūrātiōnis,f,III,"curation, act of caring for"
cūrātor,cūrātōris,u,III,"caretaker, watchperson"
cursus,cursūs,m,IV,course
custōs,custōdis,u,III,"caretaker, guardian, tutor"
dea,deae,f,I,goddess
decentia,decentiae,f,I,"decency, acceptability"
dēceptiō,dēceptiōnis,f,III,deception
dēclārātiō,dēclārātiōnis,f,III,"declaration, act of making clear"
decus,decoris,n,III,"honor, distinction"
dēmentia,dēmentiae,f,I,"dementia, loss of mind"
dēns,dentium,f,III-i,tooth
dēnsitās,dēnsitātis,f,III,"density, thickness"
deus,deī,m,II,goddess
dictātor,dictātōris,u,III,"dictator, temporary military ruler"
dīctum,dīctĪ,n,II,"saying, proverb"
diēs,diēī,m,V-long,day
difficultās,difficultātis,f,III,difficulty
digitus,digitī,m,II,finger
disciplīna,disciplīnae,f,I,learning
discipula,discipulae,f,I,student (f.)
discipulus,discipulī,m,II,student (m.)
doctor,doctōris,u,III,"teacher, instructor"
doctrīna,doctrīnae,f,I,"doctrine, teaching"
dolor,dolōris,m,III,"pain, grief, suffering"
domicilium,domiciliī,n,II,homestead
domina,dominae,f,I,"mistress, lady"
dominus,dominī,m,II,"master, lord"
domus,domūs,f,IV,house
dōnātiō,dōnātiōnis,f,III,"donation, act of granting"
dōnum,dōnī,n,II,gift
dormītōrium,dormītōriī,n,II,"dormitory, room for sleeping"
dorsum,dorsī,n,II,back (of a person or animal)
ductiō,ductiōnis,f,III,act of leading
dulcēdō,dulcēdinis,f,III,sweetness
dulcitās,dulcitātis,f,III,sweetness
dūritia,dūritiae,f,I,hardness
dux,ducis,u,III,"leader, chief"
elephantus,elephantī,m,II,elephant
elephās,elephantis,u,III,elephant
equa,equae,f,I,mare
eques,equitis,u,III,"horseman, knight"
equitātiō,equitātiōnis,f,III,act of riding a horse
equitātus,equitātūs,m,IV,cavalry
equus,equī,m,II,horse
error,errōris,m,III,"wandering, mistake"
ēsuriēs,ēsuriēī,f,V-long,hunger
Eurus,Eurī,m,II,"east, east wind"
exercitus,exercitūs,m,IV,army
experientia,experientiae,f,I,"trial, experience"
experīmentum,experīmentī,n,II,"trial, experience"
fābula,fābulae,f,I,story (fictional)
faciēs,faciēī,f,V-long,"face, surface"
facilitās,facilitātis,f,III,"facility, ease"
factum,factī,n,II,deed
facultās,facultātis,f,III,"ability, opportunity"
falcō,falcōnis,u,III,falcon
fāma,fāmae,f,I,"fame, reputation"
famīlia,famīliae,f,I,family
fātum,fātī,n,II,"fate, destiny"
faucēs,faucium,f,III-i,jaws
favor,favōris,m,III,"favor, good will, support"
fēlēs,fēlis,u,III-i,cat
fēmina,fēminae,f,I,woman
femur,femoris,n,III,thigh
fētus,fētūs,m,IV,"offspring, produce"
fīlia,fīliae,f,I,daughter
fīlius,fīliī,m,II,son
fīnēs,fīnium,m,III-i,territory
fīnis,fīnis,m,III-i,"end, border, boundary"
flāvēdō,flāvēdinis,f,III,yellowness
flōs,flōris,m,III,flower
flūmen,flūminis,n,III,river
fōns,fontis,m,III-i,"fountain, spring"
forma,formae,f,I,"form, shape"
formātiō,formātiōnis,f,III,"formation, act of forming"
fortitūdō,fortitūdinis,f,III,"bravery, courage"
fōrum,fōrī,n,II,"forum, marketplace"
frāctiō,frāctiōnis,f,III,"fraction, act of breaking"
frāctūra,frāctūrae,f,I,"break, crack"
frater,fratris,m,III,brother
frigor,frigōris,m,III,coldness
frūctus,frūctūs,m,IV,"fruit, result"
frūmentum,frūmentī,n,II,grain
fuga,fugae,f,I,"flight, escape"
functiō,functiōnis,f,III,"function, act of performing"
fundus,fundī,m,II,farm
fūr,fūris,u,III,thief
gallīna,gallīnae,f,I,hen
gallus,gallī,m,II,"cock, rooster"
gaudium,gaudiī,n,II,joy
gelū,gelūs,n,IV,ice
gena,genae,f,I,cheek
gēns,gentis,f,III-i,"clan, family, tribe"
genū,genūs,n,IV,knee
genus,generis,n,III,"kind, type"
gladiātor,gladiātōris,u,III,"gladiator, swordsman"
gladius,gladiī,m,II,sword
glōria,glōriae,f,I,glory
gradus,gradūs,m,IV,step
grāmen,grāminis,n,III,"grass, herb"
grātia,grātiae,f,I,"grace, pleasantness, gratitude"
grāvitās,grāvitātis,f,III,"gravity, heaviness, seriousness"
gregātiō,gregātiōnis,f,III,act of assembling
grex,gregis,f,III,"herd, flock, group"
habitātiō,habitātiōnis,f,III,"habitation, act of dwelling"
habitiō,habitiōnis,f,III,"habit, act of having"
harēna,harēnae,f,I,"sand, dust"
haruspex,haruspicis,u,III,"priest, examiner of animals' entrails"
hasta,hastae,f,I,spear
hiems,hiemis,f,III,winter
histōria,histōriae,f,I,"story, account"
homō,hominis,u,III,"person, human being, man"
honor,honōris,m,III,honor
hōra,hōrae,f,I,hour
hōrologium,hōrologiī,n,II,clock
horror,horrōris,m,III,"horror, quaking"
hospes,hospitis,u,III,"guest, host"
hostis,hostis,u,III-i,"enemy, foe"
humānitās,humānitātis,f,III,humanity
humiditās,humiditātis,f,III,"humidity, moisture"
humilitās,humilitātis,f,III,"humility, lowliness"
iānua,iānuae,f,I,door
īdūs,īduum,f,IV,"ides, 13th or 15th of a month"
iecur,iecoris,n,III,liver
ientāculum,ientāculī,n,II,breakfast
ignis,ignis,m,III-i,fire
ignitiō,ignitiōnis,f,III,"ignition, act of setting afire"
impedīmenta,impedīmentōrum,n,II,"baggage, equipment"
impedīmentum,impedīmentī,n,II,hindrance
imperātor,imperātōris,u,III,"commander, general, emperor"
imperium,imperiī,n,II,"power, authority, empire"
implūvium,implūviī,n,II,rain basin
inceptiō,inceptiōnis,f,III,"inception, act of beginning"
incola,incolae,u,I,inhabitant
index,indicis,m,III,"pointer, index finger"
īnfāns,īnfantis,u,III-i,"infant, child"
īnfēlīcitās,īnfēlīcitātis,f,III,unhappiness
inimīcitia,īnfēlīcitātis,f,I,unfriendliness
inīquitās,inīquitātis,f,III,"inequality, injustice"
instructiō,instructiōnis,f,III,"instruction, act of building"
īnsula,īnsulae,f,I,"island, tenement house"
integritās,integritātis,f,III,"integrity, wholeness"
inventiō,inventiōnis,f,III,"discovery, act of finding"
iocus,iocī,m,II,"joke, jest"
īra,īrae,f,I,"wrath, anger"
iter,itineris,n,III,"journey, march"
iūdex,iūdicis,u,III,"judge, lawgiver"
iūgum,iūgī,n,II,yoke
iūrātiō,iūrātiōnis,f,III,act of swearing an oath
iūs,iūris,n,III,"civil right, law"
iussiō,iussiōnis,f,III,act of ordering
iūstitia,iūstitiae,f,I,"justice, fairness"
iuventūs,iuventūtis,f,III,youth
kalendae,kalendārum,f,I,"Kalends, first of a month"
labium,labiī,n,II,lip
lābor,lābōris,m,III,"work, suffering"
lāborātiō,lāborātiōnis,f,III,act of working
lāborātor,lāborātōris,u,III,worker
lac,lactis,n,III,milk
lacus,lacūs,f,IV,"lake, pond"
laetitia,laetitiae,f,I,happiness
lapis,lapidis,m,III,stone
lāpsus,lāpsūs,m,IV,"lapse, fall"
largītiō,largītiōnis,f,III,"largesse, generosity"
lātitūdō,lātitūdinis,f,III,width
latus,lateris,n,III,"side, flank"
laudātiō,laudātiōnis,f,III,act of praising
laudātor,laudātōris,u,III,praiser
laus,laudis,f,III,praiser
lavātōrium,lavātōriī,n,II,washroom
leaena,leaenae,f,I,lioness
lectiō,lectiōnis,f,III,"act of reading, act of gathering"
lectus,lepus,m,II,"bed, couch"
lēgātus,lēgātī,u,II,"lieutenant, envoy"
legiō,legiōnis,f,III,"legion, military division"
lēns,lentis,f,III-i,lentil
leō,leōnis,m,III,lion
leopardus,leopardī,m,II,leopard
lepus,leporis,u,III,"hare, rabbit"
levātiō,levātiōnis,f,III,act of lifting
levitās,levitātis,f,III,"levity, lightness, unseriousness"
lēx,lēgis,f,III,law
liber,librī,m,II,book
līberātiō,līberātiōnis,f,III,"liberation, act of freeing"
līberātor,līberātōris,u,III,liberator
lībertās,lībertātis,f,III,"liberty, freedom"
librārium,librāriī,n,II,"library, book room"
licentia,licentiae,f,I,"license, liberties taken"
līmen,līminis,n,III,threshold
lingua,linguae,f,I,"tongue, language"
lītus,lītoris,n,III,shore of a lake or sea
locātiō,locātiōnis,f,III,"location, act of placing"
locātor,locātōris,u,III,locator
locus,locī,m,II,place
locūtiō,locūtiōnis,f,III,"locution, act of speaking"
longinquitās,longinquitātis,f,III,distance
longitūdō,longitūdinis,f,III,length
lūdus,lūdī,m,II,"game, school"
lūmen,lūminis,n,III,"light, ray of light"
lupa,lupae,f,I,wolf (f.)
lupus,lupī,m,II,wolf (m.)
lūx,lūcis,f,III,light
magister,magistrī,m,II,"teacher, master"
magistra,magistrae,f,I,"teacher, mistress"
magistrātus,magistrātūs,m,IV,"magistrate, magistracy"
